agmdl;2062472084;NULL;1;0;U ;USER_TABLE;2005-10-25 16:33:02.190;2012-05-01 03:12:38.393;0;0;0;1;NULL;81;0;0;0;0;0;0;0;0;0;0;0;TABLE
agmdtxt;1258993224;NULL;1;0;U ;USER_TABLE;2005-10-25 16:33:06.717;2012-05-01 03:12:42.190;0;0;0;1;NULL;15;0;0;0;0;0;0;0;0;0;0;0;TABLE
agrp1;1546994250;NULL;1;0;U ;USER_TABLE;2005-10-25 16:33:07.187;2012-05-01 03:12:45.847;0;0;0;0;NULL;10;0;0;0;0;0;0;0;0;0;0;0;TABLE
agrp2;1754994991;NULL;1;0;U ;USER_TABLE;2005-10-25 16:33:07.607;2012-05-01 03:12:49.457;0;0;0;0;NULL;11;0;0;0;0;0;0;0;0;0;0;0;TABLE
agrp3;1978995789;NULL;1;0;U ;USER_TABLE;2005-10-25 16:33:07.983;2012-05-01 03:12:53.160;0;0;0;0;NULL;12;0;0;0;0;0;0;0;0;0;0;0;TABLE
al;646135055;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:05.753;2012-05-01 03:14:39.240;0;0;0;1;NULL;108;0;0;0;0;0;0;0;0;0;0;0;TABLE
aldefc;178657392;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:12.963;2012-05-01 03:14:46.210;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
aldefl;914660014;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:17.413;2012-05-01 03:14:52.287;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
alimc;1666662693;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:22.643;2012-05-01 03:15:03.613;0;0;0;1;NULL;99;0;0;0;0;0;0;0;0;0;0;0;TABLE
aliml;1007184346;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:28.963;2012-05-01 03:15:12.973;0;0;0;1;NULL;81;0;0;0;0;0;0;0;0;0;0;0;TABLE
alimtxt;203705486;NULL;1;0;U ;USER_TABLE;2005-10-25 16:34:30.290;2012-05-01 03:15:16.773;0;0;0;1;NULL;15;0;0;0;0;0;0;0;0;0;0;0;TABLE
alv;22469583;NULL;1;0;U ;USER_TABLE;2006-11-13 11:24:49.023;2012-05-01 03:15:22.227;0;0;0;0;NULL;27;0;0;0;0;0;0;0;0;0;0;0;TABLE
alvdefc;410662985;NULL;1;0;U ;USER_TABLE;2006-11-13 12:11:39.407;2012-05-01 03:15:28.850;0;0;0;0;NULL;44;0;0;0;0;0;0;0;0;0;0;0;TABLE
